panel_hgnc_id,panel_id,hgnc_id
278,1,HGNC:678
279,1,HGNC:681
280,1,HGNC:14103
281,1,HGNC:17090
282,1,HGNC:30322
283,1,HGNC:14561
284,1,HGNC:11110
285,1,HGNC:18040
286,1,HGNC:18037
287,1,HGNC:689
288,1,HGNC:24046
289,1,HGNC:25419
290,1,HGNC:17146
291,1,HGNC:694
292,1,HGNC:13210
293,1,HGNC:697
294,1,HGNC:23045
295,1,HGNC:25781
296,1,HGNC:20730
297,1,HGNC:704
298,1,HGNC:707
299,1,HGNC:710
300,1,HGNC:713
301,1,HGNC:714
302,1,HGNC:24102
303,1,HGNC:25239
304,1,HGNC:719
305,1,HGNC:29561
306,1,HGNC:18060
307,1,HGNC:735
308,1,HGNC:17185
309,1,HGNC:24268
310,1,HGNC:18697
311,1,HGNC:19088
312,1,HGNC:746
313,1,HGNC:750
314,1,HGNC:753
315,1,HGNC:756
316,1,HGNC:757
317,1,HGNC:19048
318,1,HGNC:26321
319,1,HGNC:13825
320,1,HGNC:758
321,1,HGNC:773
322,1,HGNC:18318
323,1,HGNC:23805
324,1,HGNC:29357
325,1,HGNC:25903
326,1,HGNC:25567
327,1,HGNC:779
328,1,HGNC:791
329,1,HGNC:20789
330,1,HGNC:16935
331,1,HGNC:794
332,1,HGNC:11231
333,1,HGNC:24526
334,1,HGNC:795
335,1,HGNC:3033
336,1,HGNC:13907
337,1,HGNC:13543
338,1,HGNC:13552
339,1,HGNC:30213
340,1,HGNC:24113
341,1,HGNC:799
342,1,HGNC:800
343,1,HGNC:801
344,1,HGNC:811
345,1,HGNC:812
346,1,HGNC:813
347,1,HGNC:814
348,1,HGNC:815
349,1,HGNC:816
350,1,HGNC:13211
351,1,HGNC:823
352,1,HGNC:837
353,1,HGNC:838
354,1,HGNC:843
355,1,HGNC:30889
356,1,HGNC:868
357,1,HGNC:18305
358,1,HGNC:865
359,1,HGNC:18481
360,1,HGNC:866
361,1,HGNC:855
362,1,HGNC:851
363,1,HGNC:853
364,1,HGNC:854
365,1,HGNC:857
366,1,HGNC:869
367,1,HGNC:870
368,1,HGNC:13533
369,1,HGNC:3706
370,1,HGNC:13540
371,1,HGNC:18802
372,1,HGNC:882
373,1,HGNC:886
374,1,HGNC:10548
375,1,HGNC:10549
376,1,HGNC:10555
377,1,HGNC:7106
378,1,HGNC:10560
379,1,HGNC:10561
380,1,HGNC:890
381,1,HGNC:11391
382,1,HGNC:14262
383,1,HGNC:14188
384,1,HGNC:894
385,1,HGNC:897
386,1,HGNC:903
387,1,HGNC:904
388,1,HGNC:905
389,1,HGNC:914
390,1,HGNC:918
391,1,HGNC:28596
392,1,HGNC:17978
393,1,HGNC:923
394,1,HGNC:20207
395,1,HGNC:4117
396,1,HGNC:24136
397,1,HGNC:924
398,1,HGNC:930
399,1,HGNC:15685
400,1,HGNC:24123
401,1,HGNC:28636
402,1,HGNC:932
403,1,HGNC:14078
404,1,HGNC:939
405,1,HGNC:941
406,1,HGNC:17397
407,1,HGNC:950
408,1,HGNC:952
409,1,HGNC:959
410,1,HGNC:963
411,1,HGNC:966
412,1,HGNC:26291
413,1,HGNC:26648
414,1,HGNC:967
415,1,HGNC:969
416,1,HGNC:970
417,1,HGNC:18758
418,1,HGNC:30000
419,1,HGNC:16695
420,1,HGNC:14347
421,1,HGNC:977
422,1,HGNC:983
423,1,HGNC:986
424,1,HGNC:987
425,1,HGNC:16902
426,1,HGNC:989
427,1,HGNC:13221
428,1,HGNC:13222
429,1,HGNC:990
430,1,HGNC:1001
431,1,HGNC:1004
432,1,HGNC:20893
433,1,HGNC:25657
434,1,HGNC:1014
435,1,HGNC:1020
436,1,HGNC:24160
437,1,HGNC:12703
438,1,HGNC:1040
439,1,HGNC:1041
440,1,HGNC:1044
441,1,HGNC:35126
442,1,HGNC:17208
443,1,HGNC:4332
444,1,HGNC:1052
445,1,HGNC:591
446,1,HGNC:1057
447,1,HGNC:1058
448,1,HGNC:14211
449,1,HGNC:4200
450,1,HGNC:20914
451,1,HGNC:18561
452,1,HGNC:8549
453,1,HGNC:26953
454,1,HGNC:26953
455,1,HGNC:1062
456,1,HGNC:1067
457,1,HGNC:1068
458,1,HGNC:1069
459,1,HGNC:1071
460,1,HGNC:1073
461,1,HGNC:1074
462,1,HGNC:24154
463,1,HGNC:1076
464,1,HGNC:1077
465,1,HGNC:1078
466,1,HGNC:1081
467,1,HGNC:30988
468,1,HGNC:25114
469,1,HGNC:24415
470,1,HGNC:1093
471,1,HGNC:26019
472,1,HGNC:3581
473,1,HGNC:1097
474,1,HGNC:21701
475,1,HGNC:1100
476,1,HGNC:1101
477,1,HGNC:13575
478,1,HGNC:11551
479,1,HGNC:20473
480,1,HGNC:14255
481,1,HGNC:11405
482,1,HGNC:12760
483,1,HGNC:17342
484,1,HGNC:15832
485,1,HGNC:1117
486,1,HGNC:16512
487,1,HGNC:1122
488,1,HGNC:13862
489,1,HGNC:1133
490,1,HGNC:21087
491,1,HGNC:1148
492,1,HGNC:1149
493,1,HGNC:1151
494,1,HGNC:28199
495,1,HGNC:1152
496,1,HGNC:26197
497,1,HGNC:1184
