hgnc_id,is_active
HGNC:56529,TRUE
HGNC:3571,TRUE
HGNC:16526,TRUE
HGNC:16496,TRUE
HGNC:40772,TRUE
HGNC:18049,TRUE
HGNC:32017,TRUE
HGNC:30931,TRUE
HGNC:10522,TRUE
HGNC:32016,TRUE
HGNC:26060,TRUE
HGNC:51295,TRUE
HGNC:31665,TRUE
HGNC:16091,TRUE
HGNC:15814,TRUE
HGNC:24723,TRUE
HGNC:129,TRUE
HGNC:130,TRUE
HGNC:45169,TRUE
HGNC:132,TRUE
HGNC:17780,TRUE
HGNC:134,TRUE
HGNC:135,TRUE
HGNC:136,TRUE
HGNC:137,TRUE
HGNC:139,TRUE
HGNC:140,TRUE
HGNC:141,TRUE
HGNC:142,TRUE
HGNC:31819,TRUE
HGNC:33971,TRUE
HGNC:150,TRUE
HGNC:45086,TRUE
HGNC:55065,TRUE
HGNC:56590,TRUE
HGNC:143,TRUE
HGNC:51491,TRUE
HGNC:144,TRUE
HGNC:146,TRUE
HGNC:147,TRUE
HGNC:148,TRUE
HGNC:149,TRUE
HGNC:151,TRUE
HGNC:152,TRUE
HGNC:153,TRUE
HGNC:154,TRUE
HGNC:155,TRUE
HGNC:37651,TRUE
HGNC:44496,TRUE
HGNC:49058,TRUE
HGNC:49751,TRUE
HGNC:51495,TRUE
HGNC:51496,TRUE
HGNC:51497,TRUE
HGNC:51498,TRUE
HGNC:51499,TRUE
HGNC:51500,TRUE
HGNC:51501,TRUE
HGNC:51502,TRUE
HGNC:51503,TRUE
HGNC:49661,TRUE
HGNC:54872,TRUE
HGNC:145,TRUE
HGNC:24124,TRUE
HGNC:160,TRUE
HGNC:161,TRUE
HGNC:162,TRUE
HGNC:24018,TRUE
HGNC:28494,TRUE
HGNC:16127,TRUE
HGNC:44626,TRUE
HGNC:24758,TRUE
HGNC:163,TRUE
HGNC:20131,TRUE
HGNC:164,TRUE
HGNC:165,TRUE
HGNC:166,TRUE
HGNC:44028,TRUE
HGNC:44032,TRUE
HGNC:51621,TRUE
HGNC:167,TRUE
HGNC:54703,TRUE
HGNC:168,TRUE
HGNC:169,TRUE
HGNC:170,TRUE
HGNC:53965,TRUE
HGNC:17256,TRUE
HGNC:37724,TRUE
HGNC:38677,TRUE
HGNC:38678,TRUE
HGNC:38681,TRUE
HGNC:38682,TRUE
HGNC:38683,TRUE
HGNC:54971,TRUE
HGNC:37282,TRUE
HGNC:31820,TRUE
HGNC:38676,TRUE
HGNC:38679,TRUE
HGNC:14671,TRUE
HGNC:24025,TRUE
HGNC:44210,TRUE
HGNC:14672,TRUE
HGNC:17372,TRUE
HGNC:24027,TRUE
HGNC:55127,TRUE
HGNC:24026,TRUE
HGNC:24022,TRUE
HGNC:171,TRUE
HGNC:172,TRUE
HGNC:18123,TRUE
HGNC:173,TRUE
HGNC:174,TRUE
HGNC:44161,TRUE
HGNC:175,TRUE
HGNC:177,TRUE
HGNC:24104,TRUE
HGNC:179,TRUE
HGNC:180,TRUE
HGNC:186,TRUE
HGNC:1839,TRUE
HGNC:30713,TRUE
HGNC:44550,TRUE
HGNC:44552,TRUE
HGNC:30714,TRUE
HGNC:31853,TRUE
HGNC:187,TRUE
HGNC:44366,TRUE
HGNC:198,TRUE
HGNC:209,TRUE
HGNC:210,TRUE
HGNC:212,TRUE
HGNC:213,TRUE
HGNC:214,TRUE
HGNC:56152,TRUE
HGNC:56153,TRUE
HGNC:215,TRUE
HGNC:216,TRUE
HGNC:188,TRUE
HGNC:189,TRUE
HGNC:190,TRUE
HGNC:193,TRUE
HGNC:195,TRUE
HGNC:196,TRUE
HGNC:197,TRUE
HGNC:199,TRUE
HGNC:20102,TRUE
HGNC:43901,TRUE
HGNC:43902,TRUE
HGNC:200,TRUE
HGNC:19822,TRUE
HGNC:201,TRUE
HGNC:202,TRUE
HGNC:203,TRUE
HGNC:206,TRUE
HGNC:207,TRUE
HGNC:208,TRUE
HGNC:15479,TRUE
HGNC:15478,TRUE
HGNC:16299,TRUE
HGNC:217,TRUE
HGNC:218,TRUE
HGNC:219,TRUE
HGNC:220,TRUE
HGNC:221,TRUE
HGNC:222,TRUE
HGNC:223,TRUE
HGNC:49407,TRUE
HGNC:49409,TRUE
HGNC:49410,TRUE
HGNC:224,TRUE
HGNC:13202,TRUE
HGNC:40625,TRUE
HGNC:42435,TRUE
HGNC:13201,TRUE
HGNC:14605,TRUE
HGNC:1366,TRUE
HGNC:14899,TRUE
HGNC:16305,TRUE
HGNC:17108,TRUE
HGNC:55548,TRUE
HGNC:17109,TRUE
HGNC:17110,TRUE
HGNC:17111,TRUE
HGNC:40797,TRUE
HGNC:17178,TRUE
HGNC:14632,TRUE
HGNC:14631,TRUE
HGNC:14633,TRUE
HGNC:19706,TRUE
HGNC:32041,TRUE
HGNC:40895,TRUE
HGNC:27912,TRUE
HGNC:16486,TRUE
HGNC:16487,TRUE
HGNC:225,TRUE
HGNC:226,TRUE
HGNC:227,TRUE
HGNC:23299,TRUE
HGNC:228,TRUE
HGNC:21172,TRUE
HGNC:25151,TRUE
HGNC:19038,TRUE
HGNC:19039,TRUE
HGNC:21738,TRUE
HGNC:229,TRUE
HGNC:232,TRUE
HGNC:233,TRUE
HGNC:234,TRUE
HGNC:235,TRUE
HGNC:236,TRUE
HGNC:237,TRUE
HGNC:53332,TRUE
HGNC:238,TRUE
HGNC:239,TRUE
HGNC:240,TRUE
HGNC:21285,TRUE
HGNC:44143,TRUE
HGNC:241,TRUE
HGNC:242,TRUE
HGNC:243,TRUE
HGNC:244,TRUE
HGNC:245,TRUE
HGNC:48682,TRUE
HGNC:21212,TRUE
HGNC:55654,TRUE
HGNC:13838,TRUE
HGNC:49543,TRUE
HGNC:17849,TRUE
HGNC:13839,TRUE
HGNC:55918,TRUE
HGNC:943,TRUE
HGNC:944,TRUE
HGNC:945,TRUE
HGNC:55774,TRUE
HGNC:19893,TRUE
HGNC:53314,TRUE
HGNC:18651,TRUE
HGNC:3336,TRUE
HGNC:3337,TRUE
HGNC:23647,TRUE
HGNC:19240,TRUE
HGNC:1711,TRUE
HGNC:18990,TRUE
HGNC:18991,TRUE
HGNC:18989,TRUE
HGNC:19011,TRUE
HGNC:19030,TRUE
HGNC:40864,TRUE
HGNC:32922,TRUE
HGNC:32921,TRUE
HGNC:4512,TRUE
HGNC:4516,TRUE
HGNC:13728,TRUE
HGNC:18992,TRUE
HGNC:19010,TRUE
HGNC:13841,TRUE
HGNC:19241,TRUE
HGNC:20973,TRUE
HGNC:55309,TRUE
HGNC:18582,TRUE
HGNC:20974,TRUE
HGNC:50604,TRUE
HGNC:20822,TRUE
HGNC:17416,TRUE
HGNC:249,TRUE
HGNC:250,TRUE
HGNC:251,TRUE
HGNC:252,TRUE
HGNC:253,TRUE
HGNC:22976,TRUE
HGNC:22991,TRUE
HGNC:21377,TRUE
HGNC:54523,TRUE
HGNC:255,TRUE
HGNC:256,TRUE
HGNC:16354,TRUE
HGNC:30576,TRUE
HGNC:52339,TRUE
HGNC:52340,TRUE
HGNC:52341,TRUE
HGNC:28606,TRUE
HGNC:56273,TRUE
HGNC:13633,TRUE
HGNC:40648,TRUE
HGNC:24040,TRUE
HGNC:44910,TRUE
HGNC:44911,TRUE
HGNC:24041,TRUE
HGNC:24043,TRUE
HGNC:45127,TRUE
HGNC:15873,TRUE
HGNC:257,TRUE
HGNC:259,TRUE
HGNC:55516,TRUE
HGNC:28898,TRUE
HGNC:27293,TRUE
HGNC:15766,TRUE
HGNC:51227,TRUE
HGNC:23803,TRUE
HGNC:23506,TRUE
HGNC:262,TRUE
HGNC:263,TRUE
HGNC:37122,TRUE
HGNC:264,TRUE
HGNC:265,TRUE
HGNC:268,TRUE
HGNC:25250,TRUE
HGNC:44144,TRUE
HGNC:269,TRUE
HGNC:21303,TRUE
HGNC:30925,TRUE
HGNC:21304,TRUE
HGNC:277,TRUE
HGNC:278,TRUE
HGNC:280,TRUE
HGNC:281,TRUE
HGNC:282,TRUE
HGNC:283,TRUE
HGNC:285,TRUE
HGNC:286,TRUE
HGNC:288,TRUE
HGNC:15759,TRUE
HGNC:291,TRUE
HGNC:20093,TRUE
HGNC:292,TRUE
HGNC:21214,TRUE
HGNC:303,TRUE
HGNC:24051,TRUE
HGNC:25722,TRUE
HGNC:24017,TRUE
HGNC:28141,TRUE
HGNC:26714,TRUE
HGNC:25901,TRUE
HGNC:7137,TRUE
HGNC:21236,TRUE
HGNC:7135,TRUE
HGNC:53447,TRUE
HGNC:3776,TRUE
HGNC:41334,TRUE
HGNC:6473,TRUE
