panel_hgnc_source_id,panel_hgnc_id,source_id
1,1,1
2,2,1
3,2,2
4,2,3
5,3,1
6,3,2
7,3,4
8,3,5
9,3,6
10,3,3
11,3,7
12,4,1
13,4,2
14,4,4
15,4,5
16,4,6
17,4,3
18,5,1
19,5,2
20,5,8
21,5,3
22,5,7
23,6,1
24,6,2
25,6,4
26,6,5
27,6,6
28,6,3
29,6,7
30,7,1
31,7,2
32,7,4
33,7,5
34,7,3
35,8,1
36,8,2
37,8,4
38,8,5
39,8,6
40,8,3
41,9,1
42,9,2
43,9,4
44,9,5
45,9,6
46,9,3
47,10,1
48,10,2
49,10,4
50,10,5
51,10,6
52,10,3
53,11,2
54,11,4
55,11,5
56,11,6
57,11,8
58,11,3
59,12,1
60,12,2
61,12,4
62,12,5
63,12,6
64,12,3
65,13,1
66,13,2
67,13,4
68,13,5
69,13,6
70,13,3
71,13,7
72,14,1
73,14,2
74,15,1
75,15,2
76,15,4
77,15,5
78,15,6
79,15,3
80,15,7
81,16,1
82,16,2
83,16,4
84,16,5
85,16,6
86,16,3
87,16,7
88,17,1
89,17,2
90,17,4
91,17,5
92,17,6
93,17,3
94,18,1
95,18,2
96,18,4
97,18,5
98,18,6
99,18,3
100,18,7
101,19,1
102,19,2
103,19,4
104,19,5
105,19,6
106,19,3
107,20,1
108,20,2
109,20,4
110,20,5
111,20,6
112,20,3
113,20,7
114,21,1
115,21,2
116,21,4
117,21,5
118,21,6
119,21,3
120,21,7
121,22,1
122,22,2
123,22,4
124,22,5
125,22,6
126,22,8
127,22,3
128,22,7
129,23,1
130,23,2
131,23,4
132,23,5
133,23,6
134,23,8
135,23,3
136,23,7
137,24,1
138,24,2
139,24,4
140,24,5
141,24,6
142,24,8
143,24,3
144,25,1
145,25,2
146,25,4
147,25,5
148,25,6
149,25,3
150,25,7
151,26,1
152,26,2
153,26,4
154,26,5
155,26,6
156,26,3
157,26,7
158,27,1
159,27,2
160,27,4
161,27,5
162,27,6
163,27,3
164,27,7
165,28,2
166,28,4
167,28,5
168,28,6
169,28,8
170,28,3
171,29,1
172,29,2
173,29,4
174,29,5
175,29,6
176,29,8
177,29,3
178,29,7
179,30,1
180,30,2
181,30,4
182,30,5
183,30,6
184,30,3
185,31,4
186,31,5
187,32,1
188,32,2
189,32,4
190,32,5
191,32,6
192,32,3
193,32,7
194,33,1
195,33,2
196,33,4
197,33,5
198,33,6
199,33,8
200,33,3
201,33,7
202,34,1
203,34,2
204,34,4
205,34,5
206,34,6
207,34,3
208,34,7
209,35,1
210,35,2
211,35,4
212,35,5
213,35,8
214,35,3
215,35,7
216,36,1
217,36,2
218,36,4
219,36,5
220,36,6
221,36,3
222,36,7
223,37,1
224,37,2
225,37,4
226,37,5
227,37,6
228,37,3
229,37,7
230,38,1
231,38,2
232,38,4
233,38,5
234,38,6
235,38,3
236,38,7
237,39,1
238,39,2
239,39,4
240,39,5
241,39,6
242,39,3
243,39,7
244,40,2
245,40,4
246,40,5
247,40,6
248,40,3
249,41,1
250,41,4
251,41,5
252,42,1
253,42,2
254,42,4
255,42,5
256,42,6
257,42,3
258,43,4
259,43,5
260,44,1
261,44,4
262,44,6
263,45,1
264,45,2
265,45,4
266,45,5
267,45,6
268,45,8
269,45,3
270,46,1
271,46,2
272,46,4
273,46,5
274,46,6
275,46,8
276,46,3
277,46,7
278,47,4
279,47,6
280,47,3
281,48,1
282,48,2
283,48,4
284,48,5
285,48,6
286,48,3
287,49,1
288,49,2
289,49,4
290,49,5
291,49,6
292,49,3
293,49,7
294,50,1
295,50,2
296,50,4
297,50,5
298,50,8
299,50,3
300,50,7
301,51,1
302,51,2
303,51,4
304,51,5
305,51,6
306,51,8
307,51,3
308,52,3
309,53,1
310,53,2
311,53,4
312,53,5
313,53,6
314,53,3
315,53,7
316,54,1
317,54,2
318,54,4
319,54,5
320,54,6
321,54,3
322,54,7
323,55,1
324,55,2
325,55,4
326,55,5
327,55,6
328,55,8
329,55,3
330,56,1
331,56,2
332,56,4
333,56,5
334,56,6
335,56,3
336,56,7
337,57,1
338,57,2
339,57,4
340,57,5
341,57,6
342,57,8
343,57,3
344,57,7
345,58,1
346,58,2
347,58,4
348,58,5
349,58,6
350,58,3
351,59,4
352,59,5
353,59,6
354,59,8
355,60,1
356,60,2
357,60,4
358,60,5
359,60,6
360,60,8
361,60,3
362,60,7
363,61,4
364,61,6
365,61,3
366,62,1
367,62,2
368,62,4
369,62,5
370,62,6
371,62,3
372,62,7
373,63,1
374,63,2
375,63,4
376,63,5
377,63,6
378,63,3
379,64,1
380,64,2
381,64,4
382,64,5
383,64,6
384,64,3
385,65,1
386,65,2
387,65,4
388,65,5
389,65,6
390,65,8
391,65,3
392,66,3
393,67,1
394,67,4
395,67,5
396,67,3
397,68,1
398,68,2
399,68,4
400,68,5
401,68,6
